date,log_imoex_actual,log_imoex_pred_ecm,log_imoex_pred_rw,imoex_actual,imoex_pred_ecm,imoex_pred_rw
2024-03-19,8.091005853306909,8.100793620739235,8.100555906304823,3264.969999999998,3297.083671231448,3296.300000000003
2024-03-20,8.091658020254139,8.088844830958074,8.091005853306909,3267.0999999999995,3257.921945106671,3264.969999999998
2024-03-21,8.097636258294852,8.089818652142998,8.091658020254139,3286.6900000000005,3261.096123806031,3267.0999999999995
2024-03-22,8.093611973042204,8.100992716715373,8.097636258294852,3273.4899999999984,3297.740172674608,3286.6900000000005
2024-03-25,8.096095529158339,8.09026154147726,8.093611973042204,3281.630000000001,3262.540748378058,3273.4899999999984
2024-03-26,8.097286300970858,8.08907115516595,8.096095529158339,3285.54,3258.6593751562077,3281.630000000001
2024-03-27,8.102916373979317,8.1041327315226,8.097286300970858,3304.089999999999,3308.1114000295024,3285.54
2024-03-28,8.105539976406726,8.101950887496892,8.102916373979317,3312.7699999999995,3300.9014852499135,3304.089999999999
2024-03-29,8.111487054262906,8.103773156962076,8.105539976406726,3332.5299999999975,3306.9221011602926,3312.7699999999995
2024-04-01,8.120674940552938,8.108997440596477,8.111487054262906,3363.290000000002,3324.2436070068784,3332.5299999999975
2024-04-02,8.123050739418774,8.118124046202997,8.120674940552938,3371.2899999999972,3354.721535811525,3363.290000000002
2024-04-03,8.130232809871845,8.121309683508866,8.123050739418774,3395.590000000001,3365.4255023120695,3371.2899999999972
2024-04-04,8.133754706279714,8.128867984571357,8.130232809871845,3407.569999999998,3390.9587739840367,3395.590000000001
2024-04-05,8.1301680178542,8.129249059021294,8.133754706279714,3395.370000000001,3392.2512279785483,3407.569999999998
2024-04-08,8.136629454594637,8.12851891072928,8.1301680178542,3417.380000000001,3389.775285550921,3395.370000000001
2024-04-09,8.135716057455175,8.135850024049827,8.136629454594637,3414.260000000002,3414.7174274247695,3417.380000000001
2024-04-10,8.142967995963177,8.133608637155604,8.135716057455175,3439.1099999999983,3407.0722955852634,3414.260000000002
2024-04-11,8.143090113126025,8.139762742555188,8.142967995963177,3439.530000000001,3428.1044281975924,3439.1099999999983
2024-04-12,8.147936571957237,8.141043574280959,8.143090113126025,3456.24,3432.498066263337,3439.530000000001
2024-04-15,8.152540797785269,8.150278124075351,8.147936571957237,3472.1900000000014,3464.342448543432,3456.24
2024-04-16,8.149873218234422,8.147323050504106,8.152540797785269,3462.940000000003,3454.120172959007,3472.1900000000014
2024-04-17,8.14730852485911,8.150277240093747,8.149873218234422,3454.069999999999,3464.33938612979,3462.940000000003
2024-04-18,8.147815045234228,8.14960420884327,8.14730852485911,3455.819999999998,3462.0085619074202,3454.069999999999
2024-04-19,8.152163443094752,8.150886461116132,8.147815045234228,3470.8800000000015,3466.4505775382936,3455.819999999998
2024-04-22,8.154549038574375,8.15009305913621,8.152163443094752,3479.1700000000014,3463.7013795405587,3470.8800000000015
2024-04-23,8.143058131500919,8.150847239068087,8.154549038574375,3439.419999999998,3466.3146189135014,3479.1700000000014
2024-04-24,8.140003538139647,8.141341432345577,8.143058131500919,3428.9299999999985,3433.5206157739094,3439.419999999998
2024-04-25,8.143156980491723,8.139048839447067,8.140003538139647,3439.760000000001,3425.657967163312,3428.9299999999985
2024-04-26,8.146062841136418,8.137458054137921,8.143156980491723,3449.770000000001,3420.2128129789226,3439.760000000001
