date,ofz5y
2019-11-15,6.295623168380726
2019-11-18,6.26501206591461
2019-11-19,6.235030352922455
2019-11-20,6.214901728316025
2019-11-21,6.215336165434482
2019-11-22,6.215656560382787
2019-11-25,6.238970492930984
2019-11-26,6.212484268476781
2019-11-27,6.224466827420128
2019-11-28,6.2675508906223865
2019-11-29,6.261698450674413
2019-12-02,6.273939264198236
2019-12-03,6.286787138229077
2019-12-04,6.230696031021776
2019-12-05,6.245521713477453
2019-12-06,6.221775009577679
2019-12-09,6.222038755055692
2019-12-10,6.209055273056574
2019-12-11,6.21857277500657
2019-12-12,6.150648091418587
2019-12-13,6.204201274979071
2019-12-16,6.188563145582826
2019-12-17,6.164466303463945
2019-12-18,6.149850030131732
2019-12-19,6.186450940028032
2019-12-20,6.180157139128384
2019-12-23,6.134674966354292
2019-12-24,6.121902779836264
2019-12-25,6.086490158741986
2019-12-26,6.055895951178258
2019-12-27,6.181954425927061
2019-12-30,6.104590333387616
2020-01-03,6.044715310650783
2020-01-06,6.06309392156259
2020-01-08,6.041430881318699
2020-01-09,5.990170041241383
2020-01-10,5.901689882776373
2020-01-13,5.817517594662358
2020-01-14,5.885417065930509
2020-01-15,5.932804383471035
2020-01-16,5.917683930293993
2020-01-17,5.896238122124942
2020-01-20,5.855171957430305
2020-01-21,5.872698939649368
2020-01-22,5.874280453849501
2020-01-23,5.840829540780379
2020-01-24,5.82336526045073
2020-01-27,5.857944595936115
2020-01-28,5.905408488057495
2020-01-29,5.886252554915883
2020-01-30,5.913752069317191
2020-01-31,5.9503330744086425
2020-02-03,5.966679495908234
2020-02-04,5.906331121511665
2020-02-05,5.8921301380889135
2020-02-06,5.910754360389814
2020-02-07,5.870302448072451
2020-02-10,5.826067165637872
2020-02-11,5.821737254310211
2020-02-12,5.764228911991909
2020-02-13,5.760960465689791
2020-02-14,5.739353086112109
2020-02-17,5.736487369956911
2020-02-18,5.738375423952458
2020-02-19,5.699400636326768
2020-02-20,5.676941692171744
2020-02-21,5.702837384988824
2020-02-25,5.760367583128323
2020-02-26,5.7727676150367335
2020-02-27,5.909155953097156
2020-02-28,6.112852898540444
2020-03-02,6.090989798042923
2020-03-03,5.892962812899394
2020-03-04,5.78849344025596
2020-03-05,5.8905993810351776
2020-03-06,6.165293515274928
2020-03-10,6.668007355197747
2020-03-11,6.895245720887555
2020-03-12,7.724128057219959
2020-03-13,7.5327812865985555
2020-03-16,7.83666159597185
2020-03-17,7.820666049686498
2020-03-18,8.206644609282598
2020-03-19,7.920190997910259
2020-03-20,7.4194608830078
2020-03-23,7.390726193919117
2020-03-24,6.969398584833897
2020-03-25,6.951597920280306
2020-03-26,6.945647624443452
2020-03-27,6.915056026916422
2020-03-30,6.907233808173463
2020-03-31,6.707410656257551
2020-04-01,6.755842097316211
2020-04-02,6.782863956047924
