date,S1_long_thr2,S1_long_thr3,S1_long_thr5,S1_long_thr7,S1_long_thr10,S2_ls_thr3,S2_ls_thr5,S2_ls_thr7,S2_ls_thr10,S3_prop_sc5,S3_prop_sc10,S3_prop_sc15,S4_long_thr3_rate_filter,BH_buy_hold,RF_ofz
2014-03-17,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453,1.0003511276943453
2014-03-18,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0006976506105154,1.0404977658880248,1.0006976506105154
2014-03-19,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0010399226955662,1.0273811351201643,1.0010399226955662
2014-03-20,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.0013855915698442,1.028533903144893,1.0013855915698442
2014-03-21,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0017350220389858,1.0182836144925744,1.0017350220389858
2014-03-24,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.0020812954378282,1.010938612821498,1.0020812954378282
2014-03-25,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0024192937031473,1.0316027585620766,1.0024192937031473
2014-03-26,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0027544809052424,1.0510362465465257,1.0027544809052424
2014-03-27,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0030901460596844,1.0374366994439814,1.0030901460596844
2014-03-28,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0034248254886489,1.0469314577017141,1.0034248254886489
2014-03-31,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.003747880933696,1.0665363030952446,1.003747880933696
2014-04-01,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0040728769453633,1.0715524017974432,1.0040728769453633
2014-04-02,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0043998144946515,1.0696830482438286,1.0043998144946515
2014-04-03,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0047264911844502,1.0640048868247252,1.0047264911844502
