date,usdrub
2014-01-06,33.2125
2014-01-08,33.1935
2014-01-09,33.234
2014-01-10,33.027
2014-01-13,33.2825
2014-01-14,33.302
2014-01-15,33.4
2014-01-16,33.4125
2014-01-17,33.5905
2014-01-20,33.768
2014-01-21,33.935
2014-01-22,33.9305
2014-01-23,34.115
2014-01-24,34.527
2014-01-27,34.69
2014-01-28,34.742
2014-01-29,35.1305
2014-01-30,34.905
2014-01-31,35.196
2014-02-03,35.44
2014-02-04,35.003
2014-02-05,34.898
2014-02-06,34.694
2014-02-07,34.7685
2014-02-10,34.76
2014-02-11,34.7525
2014-02-12,34.831
2014-02-13,35.1495
2014-02-14,35.08
2014-02-17,35.2195
2014-02-18,35.4115
2014-02-19,35.795
2014-02-20,35.775
2014-02-21,35.489
2014-02-24,35.483
2014-02-25,35.705
2014-02-26,36.0195
2014-02-27,36.036
2014-02-28,35.886
2014-03-03,36.51
2014-03-04,36.065
2014-03-05,36.0435
2014-03-06,36.1365
2014-03-07,36.4695
2014-03-11,36.5
2014-03-12,36.5
2014-03-13,36.6085
2014-03-14,36.597
2014-03-17,36.33
2014-03-18,36.2205
2014-03-19,36.136
2014-03-20,36.38
2014-03-21,36.2595
2014-03-24,36.052
2014-03-25,35.56
2014-03-26,35.53
2014-03-27,35.5905
2014-03-28,35.78
2014-03-31,35.12
2014-04-01,35.0995
2014-04-02,35.418
2014-04-03,35.5
2014-04-04,35.3
2014-04-07,35.642
2014-04-08,35.6805
2014-04-09,35.642
2014-04-10,35.57
2014-04-11,35.645
2014-04-14,35.9845
2014-04-15,36.1925
2014-04-16,35.9885
2014-04-17,35.46
2014-04-18,35.6105
2014-04-21,35.7265
2014-04-22,35.699
2014-04-23,35.6755
2014-04-24,35.772
2014-04-25,36.0285
2014-04-28,35.821
2014-04-29,35.602
2014-04-30,35.63
2014-05-02,35.8735
2014-05-05,35.7195
2014-05-06,35.41
2014-05-07,34.9295
2014-05-08,35.04
2014-05-12,35.0425
2014-05-13,34.8525
2014-05-14,34.72
2014-05-15,34.75
2014-05-16,34.77
2014-05-19,34.5655
2014-05-20,34.5215
2014-05-21,34.345
2014-05-22,34.3195
2014-05-23,34.17
2014-05-26,34.2035
2014-05-27,34.406
2014-05-28,34.5615
2014-05-29,34.658
2014-05-30,34.8945
2014-06-02,34.93
2014-06-03,35.0695
2014-06-04,34.9995
2014-06-05,34.7415
2014-06-06,34.418
2014-06-09,34.34
2014-06-10,34.365
2014-06-11,34.379
2014-06-13,34.452
2014-06-16,34.6385
2014-06-17,34.8265
2014-06-18,34.42
2014-06-19,34.396
2014-06-20,34.479
2014-06-23,34.127
2014-06-24,33.8175
2014-06-25,33.7455
2014-06-26,33.72
2014-06-27,33.738
2014-06-30,33.9825
2014-07-01,34.34
2014-07-02,34.281
2014-07-03,34.284
2014-07-04,34.42
2014-07-07,34.455
2014-07-08,34.23
2014-07-09,33.9125
2014-07-10,33.95
2014-07-11,34.2055
2014-07-14,34.3275
2014-07-15,34.3945
2014-07-16,34.3875
2014-07-17,35.182
2014-07-18,35.1425
2014-07-21,35.19
2014-07-22,34.996
2014-07-23,34.8995
2014-07-24,35.0435
2014-07-25,35.13
2014-07-28,35.5425
2014-07-29,35.8045
2014-07-30,35.586
2014-07-31,35.7485
2014-08-01,35.7495
2014-08-04,35.783
2014-08-05,36.0785
2014-08-06,36.189
2014-08-07,36.27
2014-08-08,36.1205
2014-08-11,35.929
2014-08-12,36.18
2014-08-13,36.0005
2014-08-14,36.036
2014-08-15,36.131
2014-08-18,36.0595
2014-08-19,36.185
2014-08-20,36.3005
2014-08-21,36.024
2014-08-22,36.11
2014-08-25,36.095
2014-08-26,36.1005
2014-08-27,36.172
2014-08-28,36.75
2014-08-29,37.1235
2014-09-01,37.302
2014-09-02,37.4625
2014-09-03,36.863
2014-09-04,37.0075
2014-09-05,36.92
2014-09-08,37.0695
2014-09-09,37.1115
2014-09-10,37.29
2014-09-11,37.5095
2014-09-12,37.785
2014-09-15,38.385
2014-09-16,38.33
2014-09-17,38.419
2014-09-18,38.478
2014-09-19,38.4215
2014-09-22,38.6995
2014-09-23,38.616
2014-09-24,38.15
2014-09-25,38.4915
2014-09-26,39.1765
2014-09-29,39.4395
2014-09-30,39.5925
2014-10-01,39.7
2014-10-02,39.561
2014-10-03,39.957
2014-10-06,39.73
2014-10-07,39.904
2014-10-08,40.0
2014-10-09,40.1475
2014-10-10,40.325
2014-10-13,40.4925
2014-10-14,40.92
2014-10-15,40.4505
2014-10-16,40.869
2014-10-17,40.7525
2014-10-20,41.0375
2014-10-21,40.964
2014-10-22,41.4195
2014-10-23,41.715
2014-10-24,41.906
2014-10-27,42.28
2014-10-28,42.468
2014-10-29,43.2
2014-10-30,41.6445
2014-10-31,43.034
2014-11-03,43.608
2014-11-05,44.95
2014-11-06,46.8675
